pais,media_PIB_total_(dolar_corrente),media_população_total,media_PIB_per_capita,media_taxa_crescimento_PIB,media_taxa_inflação_(CPI),media_expectativa_vida,media_taxa_alfabetização,media_exportacao_abs,media_importacao_abs,media_IDH_estimado,soma_qtde_kg,soma_valor_dolar_ajustado,vl_distinto_produto_texto,vl_distinto_ano
Espanha,1249803024553.4858,45282818.146341465,27180.206086985658,1.1686902310135696,2.8134915144933936,81.66720999405118,97.65853658536585,38645174873073.32,37998809889671.18,0.913171447618574,18531259,40601118.48231372,4,24
Estados Unidos,11679928578313.254,281143654.08433735,38779.54415835227,2.6479969208726106,3.6286164884169994,76.41766088745226,95.0,129921059036144.48,167223449397590.38,0.0,302364408,898365407.5492065,4,54
Estonia,21684132247.3838,1331066.6,16299.102170569531,2.052148208499066,4.026437238295288,75.14841463414635,100.0,1605683315340.844,1588314780989.2817,0.8052979439030657,110606,222988.2376238277,2,8
Falkland (Ilhas Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,505.8420530301015,1,6
Falkland (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410,2313.016576748377,2,2
"Faroe, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,118.77981229545885,1,1
Filanldia,267858134714.75833,5474995.333333333,48918.107259587596,-0.19920856337970683,2.4335520338580854,81.18658536585367,95.0,10325058153979.76,10488585533073.607,0.0,11138,84684.76389157587,1,6
Filipinas,315409064956.664,102947061.10714285,2893.7576837277675,3.5391548482182706,6.88470750372259,68.51375,95.96428571428571,8763646674580.399,12339455764331.264,0.701354447810013,235796,620946.1775415522,4,14
Finlandia,161854148717.8481,5168753.982758621,30652.01453521727,2.3214124358155304,3.5570144556561045,77.5841000841043,95.0,6025801068636.406,5664020699297.429,0.0,4094832,15055326.739884084,3,42
Franca,1802411074194.2468,61765411.28,28231.06973514224,2.0177968139319877,3.3522992003756555,78.94997560975611,95.0,52502853189442.74,53023924382166.42,0.0,3481045,9839294.944925843,4,52
Gabao,19914529118.425102,2457768.0,8106.022005076646,2.74174766311079,3.9301316622997753,68.025,85.6900024414062,1308472112822.2053,519255444969.45264,0.7495385314070225,103,382.1294979334519,1,2
Gana,43267169271.236206,26531829.307692308,1419.199443670441,4.166000307416126,22.65957733576975,61.45515384615385,72.12604434673604,1426917756415.0815,1597830171488.728,0.4583962604445937,287136,648696.4652322185,4,17
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26928,68723.80138232085,1,1
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971,7436.955110614553,4,6
Granada,1224577777.77778,116913.0,10474.2652893842,7.32074061551874,2.5805392590792,75.151,98.4000015258789,0.0,0.0,0.6470649810787292,6852,11931.018636278213,3,1
Grecia,217586970295.54718,10611172.88,20516.282194775325,2.1578787299040734,2.362162911708483,81.11707317073173,94.08,8642936206091.4375,9872238709274.85,0.9054109757039859,28999,90318.41964525077,4,7
Guadalupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247440,717412.7637868392,1,6
Guatemala,57513413567.41539,14970566.5,3559.9291327728433,3.4478445482508717,5.384540254468296,68.8645625,76.38084506988525,1114220087463.8413,1822275724325.225,0.6167407117294769,38889,109366.59283834197,3,11
Guiana,8842398957.362144,794254.6363636364,10874.452322162939,27.243577220896615,2.87730119672276,67.37113636363637,88.02804773504084,64890689453.635796,83740202435.77571,0.6922558364073248,74271,265308.2469289752,4,12
Guiana Francesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25322,59203.824767298756,3,10
Guine Equatorial,18088410754.386406,1267136.4,14492.786069477504,3.409574867726229,4.5480955774076275,58.99550000000001,92.14084892272948,1348849740776.5364,774132790652.3174,0.6835946205521232,37548,184774.5878182095,4,11
Guine-Bissau,842185934.0446417,1404174.5,562.2922433735445,7.520042307818549,1.884541311992105,53.501000000000005,55.64529037475585,15507752730.432922,26448536287.3837,0.26833383368493574,13202,18522.703174250975,2,4
Haiti,12078345311.96466,9442637.42857143,1127.3437689021198,-0.6732965174349876,17.32346931461162,59.001107142857144,62.98462254660471,92134679189.32738,342196764293.1785,0.4196457825806819,2398857,3792858.963222445,3,17
Honduras,8779716757.732944,6527870.05,1207.8002070256905,4.162970946778779,11.814420867369979,66.6845,88.8,420511504727.42944,584197815123.7207,0.3158172509738916,86157,256732.1094201076,3,18
Hong Kong,307600872010.1836,7240203.9215686275,42009.42785364866,1.6331250506206452,2.319499686047875,83.99198469631756,95.0,58658799271614.82,57800171067077.42,0.0,548996,2043589.0921364224,4,20
Hungria,108506632342.61089,10139816.4,11012.876290630733,3.296115320488414,5.462299072815808,72.09692682926827,99.05999908447265,7967309524362.932,7827619099679.229,0.7747747238758129,86743,207374.31698525816,3,4
Ilha de Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008,10581.658613158923,4,6
Ilhas Virgens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500,6878.689917355372,1,1
India,2925141908790.877,1394494513.8421052,2084.15267772948,5.007703656348515,5.283343593025209,69.88857894736843,70.63157894736842,60512864058661.84,67918389071490.67,0.6046639760127438,3911,12022.425343810097,4,7
Indonesia,667141618198.3688,240310475.27272728,2514.390003974953,3.652140072531118,6.448696411423052,67.55745454545455,87.72727272727273,14823937231217.307,13158771037892.537,0.6224332344688678,212444,627510.1954058541,3,9
