produto_texto,qtde_kg,PIB_total_(dolar_corrente),população_total,PIB_per_capita,taxa_crescimento_PIB,taxa_inflação_(CPI),expectativa_vida,taxa_alfabetização,exportacao_abs,importacao_abs,IDH_estimado,pais_cat,valor_dolar_ajustado,qtde_lag1,valor_ajustado_lag1,PIB_lag1,exportacao_abs_lag1,importacao_Abs_lag1,taxa_inflação_(CPI)_lag1
Uvas frescas,204983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,545124.4570163619,95060.0,284480.6487349398,0.0,0.0,0.0,0.0
Suco de uva,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,400128.39451672864,300052.0,838102.1332435034,0.0,0.0,0.0,0.0
Uvas frescas,115448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,305473.6133643123,204983.0,545124.4570163619,0.0,0.0,0.0,0.0
Vinhos de mesa,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,396.4842379182156,5400.0,28085.103305785124,0.0,0.0,0.0,0.0
Uvas frescas,214355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,563999.0837956205,115448.0,305473.6133643123,0.0,0.0,0.0,0.0
Vinhos de mesa,1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,5008.7203467153295,67.0,396.4842379182156,0.0,0.0,0.0,0.0
Suco de uva,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,410060.0044014085,150000.0,400128.39451672864,0.0,0.0,0.0,0.0
Uvas frescas,65222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,164181.3985299296,214355.0,563999.0837956205,0.0,0.0,0.0,0.0
Vinhos de mesa,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,11166.886584507043,1037.0,5008.7203467153295,0.0,0.0,0.0,0.0
Uvas frescas,423894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1074683.1344885884,65222.0,164181.3985299296,0.0,0.0,0.0,0.0
Vinhos de mesa,2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,10397.080042265428,2700.0,11166.886584507043,0.0,0.0,0.0,0.0
Suco de uva,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,504685.12500000006,150000.0,410060.0044014085,0.0,0.0,0.0,0.0
Uvas frescas,253816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,577878.3817500001,423894.0,1074683.1344885884,0.0,0.0,0.0,0.0
Vinhos de mesa,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1290.1725000000001,2205.0,10397.080042265428,0.0,0.0,0.0,0.0
Uvas frescas,153036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,330487.081951033,253816.0,577878.3817500001,0.0,0.0,0.0,0.0
Uvas frescas,81080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,165142.74865638767,153036.0,330487.081951033,0.0,0.0,0.0,0.0
Vinhos de mesa,3780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,16541.221718061675,197.0,1290.1725000000001,0.0,0.0,0.0,0.0
Suco de uva,36400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,107834.78595866001,150000.0,504685.12500000006,0.0,0.0,0.0,0.0
Uvas frescas,48885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,107714.0503492516,81080.0,165142.74865638767,0.0,0.0,0.0,0.0
Vinhos de mesa,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,11498.948873841768,3780.0,16541.221718061675,0.0,0.0,0.0,0.0
Suco de uva,90480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,269273.2426297578,36400.0,107834.78595866001,0.0,0.0,0.0,0.0
Uvas frescas,272018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,628250.6849688581,48885.0,107714.0503492516,0.0,0.0,0.0,0.0
Suco de uva,127320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,422567.86957489885,90480.0,269273.2426297578,0.0,0.0,0.0,0.0
Uvas frescas,568342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1418113.4625708505,272018.0,628250.6849688581,0.0,0.0,0.0,0.0
Suco de uva,182000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,663069.3862204725,127320.0,422567.86957489885,0.0,0.0,0.0,0.0
Uvas frescas,209330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,578356.8896062992,568342.0,1418113.4625708505,0.0,0.0,0.0,0.0
Vinhos de mesa,20700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,83547.48366141733,2700.0,11498.948873841768,0.0,0.0,0.0,0.0
Uvas frescas,89400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,237036.12390057364,209330.0,578356.8896062992,0.0,0.0,0.0,0.0
Uvas frescas,49088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,156201.48641121495,89400.0,237036.12390057364,0.0,0.0,0.0,0.0
Vinhos de mesa,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,600.0157196261682,20700.0,83547.48366141733,0.0,0.0,0.0,0.0
Suco de uva,227370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,797008.6945766872,182000.0,663069.3862204725,0.0,0.0,0.0,0.0
